Airport_Name,Most_Frequent_Reason,Num_Cancellations
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",Weather,5
"Knoxville, TN: McGhee Tyson",Carrier,5
"Amarillo, TX: Rick Husband Amarillo International",Carrier,4
"Watertown, SD: Watertown Regional",Weather,4
"Asheville, NC: Asheville Regional",Carrier,4
"Hartford, CT: Bradley International",Weather,4
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",Weather,4
"Bakersfield, CA: Meadows Field",Weather,4
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,4
"Brownsville, TX: Brownsville South Padre Island International",Weather,4
"Akron, OH: Akron-Canton Regional",Weather,4
"Charlottesville, VA: Charlottesville Albemarle",Weather,4
"Charleston, SC: Charleston AFB/International",Weather,4
"Mosinee, WI: Central Wisconsin",Weather,4
"Devils Lake, ND: Devils Lake Regional",Weather,4
"Kearney, NE: Kearney Regional",Weather,4
"Flint, MI: Bishop International",Weather,4
"White Plains, NY: Westchester County",Weather,4
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Carrier,4
"Joplin, MO: Joplin Regional",Weather,4
"North Platte, NE: North Platte Regional Airport Lee Bird Field",Weather,4
"Lihue, HI: Lihue Airport",Carrier,4
"Moline, IL: Quad City International",Weather,4
"Myrtle Beach, SC: Myrtle Beach International",Weather,4
"Ogdensburg, NY: Ogdensburg International",Weather,4
"Everett, WA: Snohomish County",Weather,4
"Peoria, IL: General Downing - Peoria International",Weather,4
"Redding, CA: Redding Municipal",Weather,4
"Richmond, VA: Richmond International",Weather,4
"Savannah, GA: Savannah/Hilton Head International",Carrier,4
"Santa Barbara, CA: Santa Barbara Municipal",Weather,4
"State College, PA: University Park",Weather,4
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,4
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Carrier,3
"Albany, NY: Albany International",Weather,3
"Phoenix, AZ: Phoenix - Mesa Gateway",Weather,3
"Bethel, AK: Bethel Airport",Weather,3
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Weather,3
"Burlington, VT: Burlington International","National Air System",3
"Chattanooga, TN: Lovell Field",Carrier,3
"Corpus Christi, TX: Corpus Christi International",Carrier,3
"Charleston/Dunbar, WV: Yeager",Weather,3
"Dubuque, IA: Dubuque Regional",Weather,3
"Durango, CO: Durango La Plata County",Weather,3
"Eau Claire, WI: Chippewa Valley Regional",Weather,3
"Eugene, OR: Mahlon Sweet Field",Weather,3
"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",Weather,3
"Grand Forks, ND: Grand Forks International",Weather,3
"Grand Junction, CO: Grand Junction Regional",Weather,3
"Greensboro/High Point, NC: Piedmont Triad International",Carrier,3
"Harlingen/San Benito, TX: Valley International",Weather,3
"Niagara Falls, NY: Niagara Falls International",Weather,3
"Jacksonville, FL: Jacksonville International",Weather,3
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,3
"Long Beach, CA: Long Beach Airport",Carrier,3
"Saginaw/Bay City/Midland, MI: MBS International",Weather,3
"Medford, OR: Rogue Valley International - Medford",Weather,3
"Mammoth Lakes, CA: Mammoth Lakes Airport",Weather,3
"Montrose/Delta, CO: Montrose Regional",Weather,3
"Nome, AK: Nome Airport",Weather,3
"Kotzebue, AK: Ralph Wien Memorial",Weather,3
